activity_id,assay_chembl_id,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,document_chembl_id,document_year,molecule_chembl_id,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_tax_id,type,units,uo_units,value
31864,872937,B,190,218,organism-based format,Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,1146658,2004,324340,324340,0,http://www.openphacts.org/units/Nanomolar,208970,=,1,1,=,IC50,nM,2500.0,3921,Homo sapiens,9606,IC50,uM,65,2.5
31866,872937,B,190,218,organism-based format,COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1,1146658,2004,109600,109600,0,http://www.openphacts.org/units/Nanomolar,208987,=,1,1,=,IC50,nM,9000.0,3921,Homo sapiens,9606,IC50,uM,65,9.0
31868,760688,B,190,357,single protein format,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CC3)ccc2s1,1148425,2004,357278,357278,0,http://www.openphacts.org/units/Nanomolar,297547,=,1,1,=,IC50,nM,4000.0,4632,Rattus norvegicus,10116,IC50,uM,65,4.0
31870,760688,B,190,357,single protein format,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)NCCc4ccccc4)CC3)ccc2s1,1148425,2004,357119,357119,0,http://www.openphacts.org/units/Nanomolar,297563,=,1,1,=,IC50,nM,17000.0,4632,Rattus norvegicus,10116,IC50,uM,65,17.0
31872,760688,B,190,357,single protein format,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,1148425,2004,152968,152968,0,http://www.openphacts.org/units/Nanomolar,297580,=,1,1,=,IC50,nM,180.0,4632,Rattus norvegicus,10116,IC50,nM,65,180.0
31874,666153,A,190,357,single protein format,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,1148425,2004,152968,152968,0,http://www.openphacts.org/units/Nanomolar,297580,=,1,1,=,IC50,nM,6000.0,3356,Homo sapiens,9606,IC50,uM,65,6.0
31875,665756,A,190,357,single protein format,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,1148425,2004,152968,152968,0,http://www.openphacts.org/units/Nanomolar,297580,=,1,1,=,IC50,nM,37000.0,340,Homo sapiens,9606,IC50,uM,65,37.0
31876,660388,A,190,357,single protein format,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,1148425,2004,152968,152968,0,http://www.openphacts.org/units/Nanomolar,297580,=,1,1,=,IC50,nM,24000.0,3397,Homo sapiens,9606,IC50,uM,65,24.0
31946,804854,F,190,218,organism-based format,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,1121525,1980,429345,429345,0,http://www.openphacts.org/units/MicrogramPerMilliliter,310535,=,1,1,=,IC50,ug.mL-1,0.009,357,Enterococcus faecium,1352,I50,ng ml-1,274,9.0
31948,879438,F,190,218,organism-based format,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,1121525,1980,429345,429345,0,http://www.openphacts.org/units/MicrogramPerMilliliter,310535,=,1,1,=,IC50,ug.mL-1,0.056,613075,Lacticaseibacillus casei,1582,I50,ng ml-1,274,56.0
31949,703516,F,190,218,organism-based format,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,1121525,1980,429345,429345,0,http://www.openphacts.org/units/MicrogramPerMilliliter,310535,=,1,1,=,IC50,ug.mL-1,0.064,613075,Lacticaseibacillus casei,1582,I50,ng ml-1,274,64.0
31950,686358,F,190,218,organism-based format,Cn1cnc2c1C(=O)N1CCN=C1N2Cc1ccc(Cl)cc1,1121553,1980,415997,415997,0,http://www.openphacts.org/units/MicrogramPerMilliliter,22496,=,1,1,=,IC50,ug.mL-1,2.9,369,Cavia porcellus,10141,IC50,ug ml-1,274,2.9
31964,650687,B,190,357,single protein format,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,1122110,1982,305153,305153,0,http://www.openphacts.org/units/Nanomolar,342567,=,1,1,=,IC50,nM,29.4,213,Homo sapiens,9606,IC50,nM,65,29.4
31965,652388,B,190,249,cell membrane format,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,1122110,1982,305153,305153,0,http://www.openphacts.org/units/Nanomolar,342567,=,1,1,=,IC50,nM,30.8,3373,Bos taurus,9913,IC50,nM,65,30.8
31991,733653,B,190,357,single protein format,O=C(O)c1cnc2cc(OCCOc3ccc4ccccc4c3)ccc2c1O,1122163,1982,156707,156707,0,http://www.openphacts.org/units/Nanomolar,308445,=,1,1,=,IC50,nM,1584.89,3444,Sus scrofa,9823,pI50,,65,5.8
32022,650180,B,190,19,assay format,CCOC(=O)c1cn2c(n1)sc1ccccc12,1124258,1988,279087,279087,0,http://www.openphacts.org/units/Nanomolar,26249,=,1,1,=,IC50,nM,120.0,1907607,Rattus norvegicus,10116,IC50,nM,65,120.0
32023,650180,B,190,19,assay format,CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2,1124258,1988,279969,279969,0,http://www.openphacts.org/units/Nanomolar,26275,=,1,1,=,IC50,nM,1850.0,1907607,Rattus norvegicus,10116,IC50,nM,65,1850.0
32025,650180,B,190,19,assay format,CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC,1124258,1988,20214,20214,0,http://www.openphacts.org/units/Nanomolar,26272,=,1,1,=,IC50,nM,34.0,1907607,Rattus norvegicus,10116,IC50,nM,65,34.0
32027,650180,B,190,19,assay format,CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC,1124258,1988,277617,277617,0,http://www.openphacts.org/units/Nanomolar,26269,=,1,1,=,IC50,nM,107.0,1907607,Rattus norvegicus,10116,IC50,nM,65,107.0
32031,755012,F,190,221,tissue-based format,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5,1123225,1986,3350133,3350133,0,http://www.openphacts.org/units/Nanomolar,92040,=,1,1,=,IC50,nM,22.0,2095156,Homo sapiens,9606,IC50,nM,65,22.0
32049,642843,B,190,219,cell-based format,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],1123058,1985,15886,1178213,0,http://www.openphacts.org/units/Nanomolar,17693,=,1,1,=,IC50,nM,100000.0,3199,Rattus norvegicus,10116,I50,mM,65,0.1
32050,642842,B,190,221,tissue-based format,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-],1123058,1985,15886,1178213,0,http://www.openphacts.org/units/Nanomolar,17693,=,1,1,=,IC50,nM,170000.0,3199,Rattus norvegicus,10116,I50,mM,65,0.17
32059,686356,F,190,218,organism-based format,CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl,1123873,1987,1202755,57825,0,http://www.openphacts.org/units/Nanomolar,98984,=,1,1,=,IC50,nM,8000.0,369,Cavia porcellus,10141,IC50,uM,65,8.0
32060,808532,B,190,19,assay format,CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl,1123873,1987,1202755,57825,0,http://www.openphacts.org/units/Nanomolar,98984,=,1,1,=,IC50,nM,1000.0,1835,Homo sapiens,9606,IC50,uM,65,1.0
32061,706332,F,190,219,cell-based format,Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2,1123657,1987,542565,1191461,0,http://www.openphacts.org/units/Nanomolar,35198,=,1,1,=,IC50,nM,870.0,386,Mus musculus,10090,IC50,M,65,8.7E-7
32065,706332,F,190,219,cell-based format,CN(C)CCNCCNc1ccc2c3c(nn2CCN)-c2c(O)ccc(O)c2C(=O)c13.Cl,1123657,1987,543512,1192297,0,http://www.openphacts.org/units/Nanomolar,35197,=,1,1,=,IC50,nM,930.0,386,Mus musculus,10090,IC50,M,65,9.3E-7
32083,670668,B,190,19,assay format,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(C)c1O,1123038,1985,23228,23228,0,http://www.openphacts.org/units/Nanomolar,31263,=,1,1,=,IC50,nM,19.0,339,Rattus norvegicus,10116,IC50,uM,65,0.019
32088,650180,B,190,19,assay format,COc1cc2nc(C(=O)c3ccccc3)cn2c2ccc(C(C)C)cc12,1124258,1988,21222,21222,0,http://www.openphacts.org/units/Nanomolar,26231,=,1,1,=,IC50,nM,10.0,1907607,Rattus norvegicus,10116,IC50,nM,65,10.0
32090,650180,B,190,19,assay format,CC(C)OC(=O)c1cn2c(n1)sc1ccccc12,1124258,1988,21087,21087,0,http://www.openphacts.org/units/Nanomolar,26241,=,1,1,=,IC50,nM,160.0,1907607,Rattus norvegicus,10116,IC50,nM,65,160.0
32098,761371,F,190,19,assay format,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1,1131738,1999,296346,296346,0,http://www.openphacts.org/units/Nanomolar,66206,=,1,1,=,IC50,nM,3800.0,612558,,,IC50,uM,65,3.8
32102,761371,F,190,19,assay format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,1131738,1999,129,129,0,http://www.openphacts.org/units/Nanomolar,66201,=,1,1,=,IC50,nM,4.0,612558,,,IC50,uM,65,0.004
